homelat,homelong,n
20.593684,78.96288,62
-0.023559,37.906193,20
1.373333,32.290275,20
9.081999,8.675277,20
7.946527,-1.023194,9
-18.665695,35.529562,8
23.634501,-102.552784,7
9.145,40.489673,7
-0.789275,113.921327,6
-30.559482,22.937506,6
12.879721,121.774017,6
12.862807,30.217636,5
35.86166,104.195397,5
7.369722,12.354722,5
61.52401,105.318756,5
-6.369028,34.888822,5
37.09024,-95.712891,5
-4.038333,21.758664,4
28.394857,84.124008,4
9.30769,2.315834,4
-13.254308,34.301525,4
-22.95764,18.49041,4
21.913965,95.956223,4
40.463667,-3.74922,4
30.375321,69.345116,3
-19.015438,29.154857,3
15.783471,-90.230759,3
14.497401,-14.452362,3
-13.133897,27.849332,3
52.132633,5.291266,2
46.227638,2.213749,2
23.684994,90.356331,2
55.378051,-3.435973,2
42.315407,43.356892,2
-6.314993,143.95555,2
8.460555,-11.779889,2
-11.202692,17.873887,2
51.919438,19.145136,2
-22.328474,24.684866,2
41.902916,12.453389,1
36.204824,138.252924,1
48.379433,31.16558,1
49.214439,-2.13125,1
41.87194,12.56738,1
41.20438,74.766098,1
12.565679,104.990963,1
64.963051,-19.020835,1
-1.940278,29.873888,1
32.427908,53.688046,1
33.223191,43.679291,1
48.019573,66.923684,1
14.058324,108.277199,1
31.046051,34.851612,1
-13.759029,-172.104629,1
47.162494,19.503304,1
18.971187,-72.285215,1
45.1,15.2,1
35.907757,127.766922,1
-18.766947,46.869107,1
33.93911,67.709953,1
7.873054,80.771797,1
44.016521,21.005859,1
45.943161,24.96676,1
-23.442503,-58.443832,1
39.399872,-8.224454,1
60.128161,18.643501,1
48.669026,19.699024,1
-9.189967,-75.015152,1
39.074208,21.824312,1
5.152149,46.199616,1
3.919305,-56.027783,1
17.607789,8.081666,1
-20.904305,165.618042,1
13.794185,-88.89653,1
-26.522503,31.465866,1
4.210484,101.975766,1
15.870032,100.992541,1
33.886917,9.537499,1
38.963745,35.243322,1
41.608635,21.745275,1
23.885942,45.079162,1
-29.609988,28.233608,1
60.472024,8.468946,1
19.85627,102.495496,1
28.033886,1.659626,1
16.002082,-24.013197,1
42.733883,25.48583,1
46.818188,8.227512,1
-3.373056,29.918886,1
58.595272,25.013607,1
40.143105,47.576927,1
26.820553,30.802498,1
56.26392,9.501785,1
61.92411,25.748151,1
51.165691,10.451526,1
49.817492,15.472962,1
53.709807,27.953389,1
12.238333,-1.561593,1
6.611111,20.939444,1
4.570868,-74.297333,1
41.153332,20.168331,1
-35.675147,-71.542969,1
7.51498,134.58252,0
1.352083,103.819836,0
-0.228021,15.827659,0
43.94236,12.457777,0
25.930414,50.637772,0
-12.164165,96.870956,0
77.553604,23.670272,0
56.130366,-106.346771,0
46.151241,14.995463,0
46.941936,-56.27111,0
-24.143474,-10.030696,0
-24.703615,-127.439308,0
4.535277,114.727669,0
32.321384,-64.75737,0
17.189877,-88.49765,0
-4.679574,55.491977,0
-9.64571,160.156194,0
-16.290154,-63.588653,0
-14.235004,-51.92528,0
25.03428,-77.39628,0
50.503887,4.469936,0
-54.423199,3.413194,0
-21.115141,55.536384,0
18.220833,-66.590149,0
25.354826,51.183884,0
31.952162,35.233154,0
27.514162,90.433601,0
1.650801,10.267895,0
0.18636,6.613081,0
18.335765,-64.896335,0
-75.250973,-0.071389,0
-32.522779,-55.765835,0
41.377491,64.585262,0
12.226079,-69.060087,0
12.984305,-61.287228,0
6.42375,-66.58973,0
18.420695,-64.639968,0
40.069099,45.038189,0
-38.416097,-63.616672,0
-15.376706,166.959158,0
-13.768752,-177.156097,0
42.602636,20.902977,0
15.552727,48.516388,0
-12.8275,45.166244,0
18.220554,-63.068615,0
17.060816,-61.796428,0
,,0
-14.270972,-170.132217,0
13.193887,-59.543198,0
-8.967363,-171.855881,0
34.802075,38.996815,0
43.915886,17.679076,0
21.694025,-71.797928,0
15.454166,18.732207,0
-49.280366,69.348557,0
8.619543,0.824782,0
38.861034,71.276093,0
-8.874217,125.727539,0
47.516231,14.550072,0
38.969719,59.556278,0
12.52111,-69.968338,0
-21.178986,-175.198242,0
-25.274398,133.775136,0
10.691803,-61.222503,0
-7.109535,177.64933,0
23.69781,120.960515,0
-17.679742,-149.406843,0
-0.522778,166.931503,0
8.537981,-80.782127,0
12.262776,-61.604171,0
61.892635,-6.911806,0
7.425554,150.550812,0
-51.796253,-59.523613,0
18.109581,-77.297508,0
30.585164,36.238414,0
-16.578193,179.414413,0
15.179384,39.782334,0
24.215527,-12.885834,0
-3.370417,-168.734039,0
-11.875001,43.872219,0
17.357822,-62.782998,0
40.339852,127.510093,0
29.31166,47.481766,0
19.513469,-80.566956,0
-1.831239,-78.183406,0
-0.803689,11.609444,0
-6.343194,71.876519,0
21.512583,55.923255,0
3.933889,-53.125782,0
16.995971,-62.067641,0
13.444304,144.793731,0
11.803749,-15.180413,0
4.860416,-58.93018,0
31.354676,34.308825,0
22.396428,114.109497,0
-53.08181,73.504158,0
15.199999,-86.241905,0
9.945587,-9.696645,0
13.443182,-15.310139,0
71.706936,-42.604303,0
36.137741,-5.345374,0
53.41291,-8.24389,0
49.465691,-2.585278,0
54.236107,-4.548056,0
33.854721,35.862285,0
13.909444,-60.978893,0
47.166,9.555373,0
6.428055,-9.429499,0
16.742498,-62.187366,0
35.937496,14.375416,0
-20.348404,57.552152,0
3.202778,73.22068,0
35.126413,33.429859,0
-10.447525,105.690449,0
21.521757,-77.781167,0
9.748917,-83.753428,0
-29.040835,167.954712,0
12.865416,-85.207229,0
-21.236736,-159.777671,0
7.539989,-5.54708,0
-54.429579,-36.587909,0
-19.054445,-169.867233,0
-40.900557,174.885971,0
21.00789,-10.940835,0
14.641528,-61.024174,0
17.33083,145.38469,0
43.750298,7.412841,0
18.735693,-70.162651,0
55.169438,23.881275,0
49.815273,6.129583,0
56.879635,24.603189,0
26.3351,17.228331,0
31.791702,-7.09262,0
47.411631,28.369885,0
22.198745,113.543873,0
42.708678,19.37439,0
15.414999,-61.370976,0
7.131474,171.184478,0
17.570692,-3.996166,0
11.825138,42.590275,0
46.862496,103.846656,0
23.424076,53.847818,0