homelat,homelon,homecontinent,n
20.593684,78.96288,Asia,62
-0.023559,37.906193,Africa,20
1.373333,32.290275,Africa,20
9.081999,8.675277,Africa,20
7.946527,-1.023194,Africa,9
-18.665695,35.529562,Africa,8
23.634501,-102.552784,North America,7
9.145,40.489673,Africa,7
-0.789275,113.921327,Asia,6
-30.559482,22.937506,Africa,6
12.879721,121.774017,Asia,6
12.862807,30.217636,Africa,5
35.86166,104.195397,Asia,5
7.369722,12.354722,Africa,5
61.52401,105.318756,Europe,5
-6.369028,34.888822,Africa,5
37.09024,-95.712891,North America,5
-4.038333,21.758664,Africa,4
28.394857,84.124008,Asia,4
9.30769,2.315834,Africa,4
-13.254308,34.301525,Africa,4
-22.95764,18.49041,NA,4
21.913965,95.956223,Asia,4
40.463667,-3.74922,Europe,4
30.375321,69.345116,Asia,3
-19.015438,29.154857,Africa,3
15.783471,-90.230759,North America,3
14.497401,-14.452362,Africa,3
-13.133897,27.849332,Africa,3
52.132633,5.291266,Europe,2
46.227638,2.213749,Europe,2
23.684994,90.356331,Asia,2
55.378051,-3.435973,Europe,2
42.315407,43.356892,Europe,2
-6.314993,143.95555,Oceania,2
8.460555,-11.779889,Africa,2
-11.202692,17.873887,Africa,2
51.919438,19.145136,Europe,2
-22.328474,24.684866,Africa,2
41.902916,12.453389,Europe,1
36.204824,138.252924,Asia,1
48.379433,31.16558,Europe,1
49.214439,-2.13125,Europe,1
41.87194,12.56738,Europe,1
41.20438,74.766098,Asia,1
12.565679,104.990963,Asia,1
64.963051,-19.020835,Europe,1
-1.940278,29.873888,Africa,1
32.427908,53.688046,Asia,1
33.223191,43.679291,Asia,1
48.019573,66.923684,Europe,1
14.058324,108.277199,Asia,1
31.046051,34.851612,Asia,1
-13.759029,-172.104629,Oceania,1
47.162494,19.503304,Europe,1
18.971187,-72.285215,North America,1
45.1,15.2,Europe,1
35.907757,127.766922,Asia,1
-18.766947,46.869107,Africa,1
33.93911,67.709953,Asia,1
7.873054,80.771797,Asia,1
44.016521,21.005859,Europe,1
45.943161,24.96676,Europe,1
-23.442503,-58.443832,South America,1
39.399872,-8.224454,Europe,1
60.128161,18.643501,Europe,1
48.669026,19.699024,Europe,1
-9.189967,-75.015152,South America,1
39.074208,21.824312,Europe,1
5.152149,46.199616,Africa,1
3.919305,-56.027783,South America,1
17.607789,8.081666,Africa,1
-20.904305,165.618042,Oceania,1
13.794185,-88.89653,North America,1
-26.522503,31.465866,Africa,1
4.210484,101.975766,Asia,1
15.870032,100.992541,Asia,1
33.886917,9.537499,Africa,1
38.963745,35.243322,Europe,1
41.608635,21.745275,Europe,1
23.885942,45.079162,Asia,1
-29.609988,28.233608,Africa,1
60.472024,8.468946,Europe,1
19.85627,102.495496,Asia,1
28.033886,1.659626,Africa,1
16.002082,-24.013197,Africa,1
42.733883,25.48583,Europe,1
46.818188,8.227512,Europe,1
-3.373056,29.918886,Africa,1
58.595272,25.013607,Europe,1
40.143105,47.576927,Europe,1
26.820553,30.802498,Africa,1
56.26392,9.501785,Europe,1
61.92411,25.748151,Europe,1
51.165691,10.451526,Europe,1
49.817492,15.472962,Europe,1
53.709807,27.953389,Europe,1
12.238333,-1.561593,Africa,1
6.611111,20.939444,Africa,1
4.570868,-74.297333,South America,1
41.153332,20.168331,Europe,1
-35.675147,-71.542969,South America,1
7.51498,134.58252,Asia,0
1.352083,103.819836,Asia,0
-0.228021,15.827659,Asia,0
43.94236,12.457777,Asia,0
25.930414,50.637772,Asia,0
-12.164165,96.870956,Asia,0
77.553604,23.670272,Asia,0
56.130366,-106.346771,Asia,0
46.151241,14.995463,Asia,0
46.941936,-56.27111,Asia,0
-24.143474,-10.030696,Asia,0
-24.703615,-127.439308,Asia,0
4.535277,114.727669,Asia,0
32.321384,-64.75737,Asia,0
17.189877,-88.49765,Asia,0
-4.679574,55.491977,Asia,0
-9.64571,160.156194,Asia,0
-16.290154,-63.588653,Asia,0
-14.235004,-51.92528,Asia,0
25.03428,-77.39628,Asia,0
50.503887,4.469936,Asia,0
-54.423199,3.413194,Asia,0
-21.115141,55.536384,Asia,0
18.220833,-66.590149,Asia,0
25.354826,51.183884,Asia,0
31.952162,35.233154,Asia,0
27.514162,90.433601,Asia,0
1.650801,10.267895,Asia,0
0.18636,6.613081,Asia,0
18.335765,-64.896335,Asia,0
-75.250973,-0.071389,Asia,0
-32.522779,-55.765835,Asia,0
41.377491,64.585262,Asia,0
12.226079,-69.060087,Asia,0
12.984305,-61.287228,Asia,0
6.42375,-66.58973,Asia,0
18.420695,-64.639968,Asia,0
40.069099,45.038189,Asia,0
-38.416097,-63.616672,Asia,0
-15.376706,166.959158,Asia,0
-13.768752,-177.156097,Asia,0
42.602636,20.902977,Asia,0
15.552727,48.516388,Asia,0
-12.8275,45.166244,Asia,0
18.220554,-63.068615,Asia,0
17.060816,-61.796428,Asia,0
,,Asia,0
-14.270972,-170.132217,Asia,0
13.193887,-59.543198,Asia,0
-8.967363,-171.855881,Asia,0
34.802075,38.996815,Asia,0
43.915886,17.679076,Asia,0
21.694025,-71.797928,Asia,0
15.454166,18.732207,Asia,0
-49.280366,69.348557,Asia,0
8.619543,0.824782,Asia,0
38.861034,71.276093,Asia,0
-8.874217,125.727539,Asia,0
47.516231,14.550072,Asia,0
38.969719,59.556278,Asia,0
12.52111,-69.968338,Asia,0
-21.178986,-175.198242,Asia,0
-25.274398,133.775136,Asia,0
10.691803,-61.222503,Asia,0
-7.109535,177.64933,Asia,0
23.69781,120.960515,Asia,0
-17.679742,-149.406843,Asia,0
-0.522778,166.931503,Asia,0
8.537981,-80.782127,Asia,0
12.262776,-61.604171,Asia,0
61.892635,-6.911806,Asia,0
7.425554,150.550812,Asia,0
-51.796253,-59.523613,Asia,0
18.109581,-77.297508,Asia,0
30.585164,36.238414,Asia,0
-16.578193,179.414413,Asia,0
15.179384,39.782334,Asia,0
24.215527,-12.885834,Asia,0
-3.370417,-168.734039,Asia,0
-11.875001,43.872219,Asia,0
17.357822,-62.782998,Asia,0
40.339852,127.510093,Asia,0
29.31166,47.481766,Asia,0
19.513469,-80.566956,Asia,0
-1.831239,-78.183406,Asia,0
-0.803689,11.609444,Asia,0
-6.343194,71.876519,Asia,0
21.512583,55.923255,Asia,0
3.933889,-53.125782,Asia,0
16.995971,-62.067641,Asia,0
13.444304,144.793731,Asia,0
11.803749,-15.180413,Asia,0
4.860416,-58.93018,Asia,0
31.354676,34.308825,Asia,0
22.396428,114.109497,Asia,0
-53.08181,73.504158,Asia,0
15.199999,-86.241905,Asia,0
9.945587,-9.696645,Asia,0
13.443182,-15.310139,Asia,0
71.706936,-42.604303,Asia,0
36.137741,-5.345374,Asia,0
53.41291,-8.24389,Asia,0
49.465691,-2.585278,Asia,0
54.236107,-4.548056,Asia,0
33.854721,35.862285,Asia,0
13.909444,-60.978893,Asia,0
47.166,9.555373,Asia,0
6.428055,-9.429499,Asia,0
16.742498,-62.187366,Asia,0
35.937496,14.375416,Asia,0
-20.348404,57.552152,Asia,0
3.202778,73.22068,Asia,0
35.126413,33.429859,Asia,0
-10.447525,105.690449,Asia,0
21.521757,-77.781167,Asia,0
9.748917,-83.753428,Asia,0
-29.040835,167.954712,Asia,0
12.865416,-85.207229,Asia,0
-21.236736,-159.777671,Asia,0
7.539989,-5.54708,Asia,0
-54.429579,-36.587909,Asia,0
-19.054445,-169.867233,Asia,0
-40.900557,174.885971,Asia,0
21.00789,-10.940835,Asia,0
14.641528,-61.024174,Asia,0
17.33083,145.38469,Asia,0
43.750298,7.412841,Asia,0
18.735693,-70.162651,Asia,0
55.169438,23.881275,Asia,0
49.815273,6.129583,Asia,0
56.879635,24.603189,Asia,0
26.3351,17.228331,Asia,0
31.791702,-7.09262,Asia,0
47.411631,28.369885,Asia,0
22.198745,113.543873,Asia,0
42.708678,19.37439,Asia,0
15.414999,-61.370976,Asia,0
7.131474,171.184478,Asia,0
17.570692,-3.996166,Asia,0
11.825138,42.590275,Asia,0
46.862496,103.846656,Asia,0
23.424076,53.847818,Asia,0
